id;name;images
23;Mortal Kombat XL;[{'url': 'https://images.start.gg/images/videogame/23/image-ce23fce00c1d73fd1901a956f5b9664a.jpg?ehk=kHcpaUYGnD5ZbYpkhm%2BMuzt2OSLlfXY4CXEUB1Lsses%3D&ehkOptimized=CPSGw%2BOEidXRQVNGfIe4xiMMZJPySqnP5fhRBpY2uBY%3D'}, {'url': 'https://images.start.gg/images/videogame/23/image-91edd08b6631e44aca0132e53a9d4358.png?ehk=NKe9xdJzd4nuhxLVLDTLACHcfLjsE8DwOvxr%2F4Gwhqw%3D&ehkOptimized=%2B3HvIcDGV9HxnRQrw%2Fc8lukDZvXSSiE5DlNFBSW5N34%3D'}]
24;Rivals of Aether;[{'url': 'https://images.start.gg/images/videogame/24/image-eebc838fa1989c60c4625f74c44e6297.jpg?ehk=oIjuF%2FSlTIpsLq1sMYAfYG0SpcO9tM0kYhjxg4Zgk4k%3D&ehkOptimized=IP1XhlOzzwRqYeORD0SoBvw8tXtlK40GFOXW1JW5HBc%3D'}, {'url': 'https://images.start.gg/images/videogame/24/image-40628c1fd0f74144a902ea43ef623f0b.png?ehk=c79KsDSKPMSmQoLmantHNGzxVmx5WIpsdSph0WDyN%2Bs%3D&ehkOptimized=VEds9n23u5dArQSegSEckL335ZQKlEfx78NqzZuTy0A%3D'}]
25;Clash Royale;[{'url': 'https://images.start.gg/images/videogame/25/image-0530511ff7d6c8066be8977109fc43a7.jpg?ehk=ZOBiXdoGw5oc%2FtFHvhb%2BD9zAGwCZui1nA4wYnEBhD1E%3D&ehkOptimized=UyE0SgGH2FHRu6M5kJszdqCYvFOmAkqQK%2FdB%2FLsP%2F5A%3D'}, {'url': 'https://images.start.gg/images/videogame/25/image-8b094b6bfd39ab32a4489385d048adf3.png?ehk=qW3BzssR4SdzdAQ2XLfmb67DpePFrHEyPOgdufNla%2BM%3D&ehkOptimized=dW80kKW89hNMgln3jcyyaI2LGUtCOqQS2yWvCIWL%2BV4%3D'}]
26;Battlerite;[{'url': 'https://images.start.gg/images/videogame/26/image-cf231e000676d5d0393c9d71551ab5cc.jpg?ehk=smsDgOimNKmMN8GHUOCS7KJaW86s6gREadJX9i9kAU0%3D&ehkOptimized=JLNDdUpUsLnR%2FPS7lDRgFoBuFE%2FFkbRtsNwk6F68zow%3D'}, {'url': 'https://images.start.gg/images/videogame/26/image-b28aa76d72d5972a50e6e7c332616421.png?ehk=LwMwQUHK4KI1AVMZb6049KsHy0mK%2F%2FVoiDtOKtVc1BI%3D&ehkOptimized=h7XBgaC03xGdMDotdL0mCg6hD6nBoqZ6JS6ODxoTCo4%3D'}]
28;Rock Paper Scissors;[{'url': 'https://images.start.gg/images/videogame/28/image-34132482f2deec48d40bd160ac880fdf.png?ehk=2dPeMu7%2FcsUCcjV8pXU9IbUR3%2BXtvLgDu0reJwzLtiU%3D&ehkOptimized=P%2F9XudtY9T2WN8BnxNL8YvsOMCjEazk8IZQHA7%2BI6Dw%3D'}]
29;Super Smash Bros. for 3DS;[{'url': 'https://images.start.gg/images/videogame/29/image-48cea781f30be7faade8d214a7063a32.jpg?ehk=GqZzlrxTZDC2idhgd4XCHjkt%2FFBlw8WvEcu%2B%2BUr2BOA%3D&ehkOptimized=crzg000svaPSJb%2FHMCzTVN8VjyoPzdK%2B3u0zZZZ86I0%3D'}, {'url': 'https://images.start.gg/images/videogame/29/image-fad5c2dadb73f6aee3a463f28ff93373.png?ehk=QvPVw%2BYFr0xNfNPzsoF%2FkS%2FpXWboSGtCh33sY7bQOzw%3D&ehkOptimized=6ok%2B8XdbVUlXnpBaiODj9%2FsZ8Aa53vsu0uET4DJAoCY%3D'}]
30;StarCraft II: Legacy of the Void;[{'url': 'https://images.start.gg/images/videogame/30/image-058211649517098e93a084eb87537a0f.jpg?ehk=drsh3QeycxbzrHTfqBniW05UXcXa9nresHTPjwdi8lQ%3D&ehkOptimized=sCiCJpZ4ys9wxRAXZuCnyB4C%2FRJwKA7wanj49dUqT9E%3D'}, {'url': 'https://images.start.gg/images/videogame/30/image-7d722d7c8b0d4c23d296f2dd764a6946.png?ehk=oDyZaou7tjWO6CZgEOvMAqCypqNEOjzNv5jIDbJi0Ig%3D&ehkOptimized=aUNEqh9G%2FcqdkwnzrUj86Wj3Mo7fklc7v9sZmP7ZJCE%3D'}]
31;Overwatch;[{'url': 'https://images.start.gg/images/videogame/31/image-aa241e52c36ecd67d13f5703a3b5482b.jpg?ehk=9f2Id9dbmv0p9NOqFJUCDfc9%2FvbeU5Sta4jYqukuPz0%3D&ehkOptimized=WPCXwysltmotcXjGyxGuajkMlKJphm60aEYpsU7cuYY%3D'}, {'url': 'https://images.start.gg/images/videogame/31/image-0c8490cff8e9e9e3ff451b1f10c45a05.png?ehk=zCXQabrvVq4TLjqV5lWred0jbCGhfpBS%2BrRe7mbESGM%3D&ehkOptimized=Tbzm%2FTrm5JUe1I3iBVu0OrmsZziPkQefK4z%2BnWzHguE%3D'}]
32;Skullgirls: 2nd Encore;[{'url': 'https://images.start.gg/images/videogame/32/image-254b493c3b552ab0e501390c3220ed40.jpg?ehk=qYEuEvln5RqPgEu0EGm5gmrl6EAfESje6RvJY8mHBqo%3D&ehkOptimized=4O2BQegAe7DO%2BkYbyc8WP9GPzbkx6P594yD%2BEekZGDo%3D'}, {'url': 'https://images.start.gg/images/videogame/32/image-232e8ca111e073e00f7790a9ad955274.png?ehk=TTdARajm6Y4Gjfl%2F73k740uuvXSf9pHEtKUzOPM1EdY%3D&ehkOptimized=JnIl5TP%2B99CeP7ikIDRyqpPW99nVi4ULA7cyhiJVjnc%3D'}]
33;Windjammers;[{'url': 'https://images.start.gg/images/videogame/33/image-e76400a2dfdb6d571adf963d7ea1fbec.jpg?ehk=fc1HteDcbmr0ImDrbOE8LH%2FzeusG9XW1eFjP50x%2FVsE%3D&ehkOptimized=7ddGdWQJwaam7jKIyUBfS44N4XYuS14QWEofhdfLdBg%3D'}, {'url': 'https://images.start.gg/images/videogame/33/image-b1daf35026c34bff46d751aa6ed1ecdc.png?ehk=oU5IsjsSEBwpiCpEgv6YMif%2FcJjVj1gf8IgAE6X38oo%3D&ehkOptimized=j3%2FsKOX2nHNTqUDvfLFoWWvFg7wrLKohJ%2FMQ4oS3%2Fm4%3D'}]
